,cmax_nd,fases--cap_tf,costo_perdidas_totales_mes
-1,0.0,1--5,17903
0,1.0,1--5,17903
1,2.0,1--5,21494
2,3.0,1--7.5,26779
3,4.0,1--7.5,31561
4,5.0,1--10,35943
5,6.0,1--10,41094
6,7.0,1--15,44891
7,8.0,1--15,49112
8,9.0,1--15,53895
9,10.0,1--25,57402
10,11.0,1--25,60597
11,12.0,1--25,64097
12,13.0,1--25,67901
13,14.0,1--25,72009
14,15.0,1--25,76422
15,16.0,1--37.5,79441
16,17.0,1--37.5,82557
17,18.0,1--37.5,85862
18,19.0,1--37.5,89356
19,20.0,1--37.5,93039
20,21.0,1--50,96666
21,22.0,1--50,99563
22,23.0,1--50,102596
23,24.0,1--50,105763
24,25.0,1--50,109064
25,26.0,1--50,112501
26,27.0,1--50,116072
27,28.0,1--50,119778
28,29.0,1--50,123619
29,30.0,1--75,126312
30,31.0,1--75,128857
31,32.0,1--75,131484
32,33.0,1--75,134195
33,34.0,1--75,136990
34,35.0,1--75,139867
35,36.0,1--75,142829
36,37.0,1--75,145873
37,38.0,1--75,149001
38,39.0,1--75,152213
39,40.0,1--75,155508
40,41.0,1--75,158886
41,42.0,1--75,162348
42,43.0,1--75,165893
43,44.0,1--75,169521
44,45.0,1--75,173233
45,46.0,1--75,177029
46,47.0,1--75,180907
47,48.0,1--75,184870
48,49.0,1--75,188915
49,50.0,1--75,193044
50,51.0,1--75,197257
51,52.0,1--75,201552
52,53.0,1--75,205932
53,54.0,1--75,210394
54,55.0,1--75,214940
55,56.0,1--75,219570
56,57.0,1--75,224283
57,58.0,1--75,229079
58,59.0,1--75,233959
59,60.0,1--75,238922
60,61.0,1--75,243969
61,62.0,1--75,249099
62,63.0,1--75,254312
63,64.0,1--75,259609
64,65.0,1--75,264989
65,66.0,1--75,270453
66,67.0,1--75,276000
67,68.0,1--75,281630
68,69.0,1--75,287344
69,70.0,1--75,293142
70,71.0,1--75,299022
71,72.0,1--75,304987
72,73.0,1--75,311034
73,74.0,1--75,317165
74,75.0,1--75,323379
75,76.0,1--75,329677
76,77.0,1--75,336059
77,78.0,1--75,342523
78,79.0,1--75,349071
79,80.0,1--75,355703
80,81.0,1--75,362418
81,82.0,1--75,369216
82,83.0,1--75,376098
83,84.0,1--75,383063
84,85.0,3--225,387894
85,86.0,3--225,391110
86,87.0,3--225,394364
87,88.0,3--225,397655
88,89.0,3--225,400983
89,90.0,3--225,404350
90,91.0,3--225,407754
91,92.0,3--225,411195
92,93.0,3--225,414675
93,94.0,3--225,418192
94,95.0,3--225,421746
95,96.0,3--225,425338
96,97.0,3--225,428968
97,98.0,3--225,432635
98,99.0,3--250,436004
99,100.0,3--250,439310
100,150.0,3--400,610960
101,200.0,3--500,770248
102,250.0,3--500,941215
103,300.0,3--500,1150176
104,350.0,3--500,1397130
105,400.0,3--500,1682076
106,450.0,3--500,2005015
107,500.0,3--500,2365947
108,600.0,3--500,3201790
109,700.0,3--500,5230140
110,800.0,3--500,6076697
111,900.0,3--500,7368454
112,1000.0,3--500,8812182
