,id_n,cmax_hoy,tf_hoy,vutil_rest_meses,costo_hoy,costo_rec,hoy+0.0,hoy+0.1,hoy+0.2,hoy+0.3,hoy+0.4,hoy+0.5,hoy+0.6,hoy+0.7,hoy+0.8,hoy+0.9,hoy+1.0
68,1,55.165000000000006,3-112.5,71,219160,146859,1--75,1--75,1--75,1--75,1--75,1--75,3--225,3--225,3--250,3--250,3--250
37,2,19.380000000000003,3-112.5,57,126502,97226,1--37.5,1--50,1--50,1--50,1--50,1--75,1--75,1--75,1--75,1--75,1--75
5,3,8.058,3-75.0,1,182452,123354,1--15,1--15,1--15,1--25,1--25,1--25,1--25,1--25,1--25,1--37.5,1--37.5
1,4,3.8760000000000003,3-112.5,1,173457,108626,1--7.5,1--7.5,1--7.5,1--10,1--10,1--10,1--10,1--10,1--10,1--15,1--15
8,5,8.925,3-112.5,155,354232,250697,1--15,1--15,1--25,1--25,1--25,1--25,1--25,1--37.5,1--37.5,1--37.5,1--37.5
47,6,24.021,3-112.5,179,117392,88803,1--50,1--50,1--50,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75
50,7,24.967333333333336,3-50.0,179,195721,137287,1--50,1--50,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75
35,8,19.125,3-75.0,179,198499,143299,1--37.5,1--50,1--50,1--50,1--50,1--50,1--75,1--75,1--75,1--75,1--75
69,9,57.53933333333333,3-75.0,191,129378,99885,1--75,1--75,1--75,1--75,1--75,3--225,3--225,3--250,3--250,3--250,3--250
43,10,21.216,3-45.0,191,129468,98103,1--50,1--50,1--50,1--50,1--75,1--75,1--75,1--75,1--75,1--75,1--75
38,11,19.720000000000002,3-50.0,191,125539,73954,1--37.5,1--50,1--50,1--50,1--50,1--75,1--75,1--75,1--75,1--75,1--75
41,12,20.723000000000003,3-75.0,191,125309,96123,1--37.5,1--50,1--50,1--50,1--75,1--75,1--75,1--75,1--75,1--75,1--75
51,13,25.483,3-50.0,179,133224,89030,1--50,1--50,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75
54,14,29.68038094266667,3-50.0,179,197777,138127,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75
13,15,12.007666666666669,3-50.0,179,190274,135063,1--25,1--25,1--25,1--37.5,1--37.5,1--37.5,1--37.5,1--37.5,1--50,1--50,1--50
36,16,19.266666666666666,3-75.0,179,117916,89287,1--37.5,1--50,1--50,1--50,1--50,1--50,1--75,1--75,1--75,1--75,1--75
32,17,18.065333333333335,3-30.0,179,134649,89882,1--37.5,1--37.5,1--50,1--50,1--50,1--50,1--50,1--75,1--75,1--75,1--75
59,18,32.793,3-112.5,179,97670,74844,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75
60,19,32.912,3-75.0,179,206770,154356,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75
6,20,8.205333333333334,3-75.0,203,160937,121180,1--15,1--15,1--15,1--25,1--25,1--25,1--25,1--25,1--25,1--37.5,1--37.5
25,21,15.937904760933334,3-37.5,57,95269,58623,1--37.5,1--37.5,1--37.5,1--37.5,1--50,1--50,1--50,1--50,1--50,1--75,1--75
40,22,19.96366666666667,3-75.0,57,144655,110438,1--37.5,1--50,1--50,1--50,1--50,1--75,1--75,1--75,1--75,1--75,1--75
52,23,26.576666666666668,3-50.0,57,124225,95121,1--50,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75
67,24,43.027,3-75.0,1,84690,60152,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,1--75,3--225
